Year,Month,Day,Discharge (ft3/s)
2000,11,21,330
2000,11,22,329
2000,11,23,330
2000,11,24,330
2000,11,25,330
2000,11,26,1110
2000,11,27,3120
2000,11,28,2360
2000,11,29,1670
2000,11,30,1460
2000,12,1,1210
2000,12,2,1010
2000,12,3,827
2000,12,4,694
2000,12,5,568
2000,12,6,520
2000,12,7,500
2000,12,8,478
2000,12,9,460
2000,12,10,420
2000,12,11,459
2000,12,12,817
2000,12,13,601
2000,12,14,560
2000,12,15,520
2000,12,16,532
2000,12,17,5300
2000,12,18,4200
2000,12,19,2000
2000,12,20,1500
2000,12,21,1130
2000,12,22,900
2000,12,23,760
2000,12,24,720
2000,12,25,660
2000,12,26,631
2000,12,27,637
2000,12,28,620
2000,12,29,600
2000,12,30,584
2000,12,31,564
2001,1,1,571
2001,1,2,612
2001,1,3,619
2001,1,4,657
2001,1,5,610
2001,1,6,580
2001,1,7,560
2001,1,8,540
2001,1,9,520
2001,1,10,500
2001,1,11,490
2001,1,12,480
2001,1,13,474
2001,1,14,480
2001,1,15,513
2001,1,16,594
2001,1,17,650
2001,1,18,620
2001,1,19,600
2001,1,20,560
2001,1,21,482
2001,1,22,450
2001,1,23,410
2001,1,24,452
2001,1,25,410
2001,1,26,380
2001,1,27,416
2001,1,28,388
2001,1,29,380
2001,1,30,440
2001,1,31,1000
2001,2,1,1350
2001,2,2,940
2001,2,3,799
2001,2,4,780
2001,2,5,760
2001,2,6,734
2001,2,7,684
2001,2,8,644
2001,2,9,1800
2001,2,10,7500
2001,2,11,3300
2001,2,12,1800
2001,2,13,1550
2001,2,14,1540
2001,2,15,4910
2001,2,16,2770
2001,2,17,1700
2001,2,18,1150
2001,2,19,1000
2001,2,20,1090
2001,2,21,1240
2001,2,22,880
2001,2,23,980
2001,2,24,884
2001,2,25,1140
2001,2,26,1940
2001,2,27,1150
2001,2,28,806
2001,3,1,660
2001,3,2,640
2001,3,3,617
2001,3,4,561
2001,3,5,550
2001,3,6,560
2001,3,7,630
2001,3,8,620
2001,3,9,565
2001,3,10,545
2001,3,11,524
2001,3,12,600
2001,3,13,1060
2001,3,14,2000
2001,3,15,1440
2001,3,16,1340
2001,3,17,1140
2001,3,18,1010
2001,3,19,930
2001,3,20,1140
2001,3,21,1570
2001,3,22,1780
2001,3,23,1730
2001,3,24,2600
2001,3,25,1740
2001,3,26,1310
2001,3,27,1440
2001,3,28,1360
2001,3,29,1030
2001,3,30,1780
2001,3,31,2720
2001,4,1,1800
2001,4,2,2050
2001,4,3,2070
2001,4,4,2440
2001,4,5,4130
2001,4,6,6020
2001,4,7,11400
2001,4,8,14500
2001,4,9,10200
2001,4,10,8690
2001,4,11,5430
2001,4,12,4220
2001,4,13,3050
2001,4,14,2270
2001,4,15,1920
2001,4,16,2010
2001,4,17,2090
2001,4,18,2260
2001,4,19,1870
2001,4,20,1820
2001,4,21,2330
2001,4,22,3340
2001,4,23,2360
2001,4,24,1880
2001,4,25,1740
2001,4,26,1370
2001,4,27,1190
2001,4,28,1110
2001,4,29,973
2001,4,30,889
2001,5,1,830
2001,5,2,777
2001,5,3,733
2001,5,4,681
2001,5,5,617
2001,5,6,566
2001,5,7,529
2001,5,8,491
2001,5,9,497
2001,5,10,486
2001,5,11,449
2001,5,12,524
2001,5,13,665
2001,5,14,523
2001,5,15,445
2001,5,16,408
2001,5,17,375
2001,5,18,368
2001,5,19,389
2001,5,20,353
2001,5,21,329
2001,5,22,378
2001,5,23,1560
2001,5,24,1030
2001,5,25,601
2001,5,26,633
2001,5,27,632
2001,5,28,665
2001,5,29,659
2001,5,30,548
2001,5,31,445
2001,6,1,389
2001,6,2,382
2001,6,3,393
2001,6,4,580
2001,6,5,541
2001,6,6,424
2001,6,7,364
2001,6,8,327
2001,6,9,300
2001,6,10,292
2001,6,11,288
2001,6,12,295
2001,6,13,358
2001,6,14,315
2001,6,15,274
2001,6,16,242
2001,6,17,235
2001,6,18,269
2001,6,19,242
2001,6,20,213
2001,6,21,212
2001,6,22,491
2001,6,23,482
2001,6,24,847
2001,6,25,647
2001,6,26,458
2001,6,27,381
2001,6,28,329
2001,6,29,284
2001,6,30,251
2001,7,1,244
2001,7,2,254
2001,7,3,292
2001,7,4,242
2001,7,5,269
2001,7,6,227
2001,7,7,211
2001,7,8,188
2001,7,9,175
2001,7,10,164
2001,7,11,150
2001,7,12,139
2001,7,13,130
2001,7,14,120
2001,7,15,110
2001,7,16,105
2001,7,17,100
2001,7,18,95
2001,7,19,100
2001,7,20,95
2001,7,21,90
2001,7,22,85
2001,7,23,76
2001,7,24,72
2001,7,25,72
2001,7,26,70
2001,7,27,169
2001,7,28,137
2001,7,29,90
2001,7,30,80
2001,7,31,76
2001,8,1,77.6
2001,8,2,79.9
2001,8,3,78.1
2001,8,4,74
2001,8,5,72
2001,8,6,70
2001,8,7,66.3
2001,8,8,62.3
2001,8,9,62
2001,8,10,62
2001,8,11,68
2001,8,12,66
2001,8,13,60
2001,8,14,58.3
2001,8,15,56
2001,8,16,54.6
2001,8,17,58.2
2001,8,18,60
2001,8,19,66
2001,8,20,91.9
2001,8,21,140
2001,8,22,110
2001,8,23,84.4
2001,8,24,90
2001,8,25,94.4
2001,8,26,89
2001,8,27,88.6
2001,8,28,169
2001,8,29,213
2001,8,30,169
2001,8,31,167
2001,9,1,245
2001,9,2,187
2001,9,3,177
2001,9,4,166
2001,9,5,153
2001,9,6,130
2001,9,7,115
2001,9,8,105
2001,9,9,95
2001,9,10,90
2001,9,11,88
2001,9,12,90
2001,9,13,86
2001,9,14,88
2001,9,15,100
2001,9,16,120
2001,9,17,100
2001,9,18,85
2001,9,19,80
2001,9,20,80
2001,9,21,80
2001,9,22,85
2001,9,23,90
2001,9,24,100
2001,9,25,180
2001,9,26,322
2001,9,27,279
2001,9,28,256
2001,9,29,235
2001,9,30,202
2001,10,1,184
2001,10,2,165
2001,10,3,149
2001,10,4,142
2001,10,5,142
2001,10,6,144
2001,10,7,146
2001,10,8,145
2001,10,9,144
2001,10,10,132
2001,10,11,119
2001,10,12,120
2001,10,13,115
2001,10,14,116
2001,10,15,183
2001,10,16,587
2001,10,17,673
2001,10,18,760
2001,10,19,722
2001,10,20,679
2001,10,21,667
2001,10,22,782
2001,10,23,492
2001,10,24,429
